00000000777000000.mp4,Segment1,Frame:7140,Time:602.8s,TotalBoxes:81,S:7,M:72,L:0
00000000777000000.mp4,Segment1,Frame:7170,Time:605.4s,TotalBoxes:81,S:7,M:72,L:0
00000000777000000.mp4,Segment1,Frame:7200,Time:607.9s,TotalBoxes:81,S:7,M:72,L:0
00000000777000000.mp4,Segment1,Frame:7230,Time:610.5s,TotalBoxes:81,S:7,M:72,L:0
00000000777000000.mp4,Segment1,Frame:7260,Time:613.0s,TotalBoxes:81,S:7,M:72,L:0
00000000777000000.mp4,Segment1,Frame:7290,Time:615.6s,TotalBoxes:82,S:7,M:73,L:0
00000000777000000.mp4,Segment1,Frame:7320,Time:618.1s,TotalBoxes:83,S:7,M:74,L:0
00000000777000000.mp4,Segment1,Frame:7350,Time:620.7s,TotalBoxes:83,S:7,M:74,L:0
00000000777000000.mp4,Segment1,Frame:7380,Time:623.2s,TotalBoxes:83,S:7,M:74,L:0
00000000777000000.mp4,Segment1,Frame:7410,Time:625.7s,TotalBoxes:84,S:7,M:75,L:0
00000000777000000.mp4,Segment1,Frame:7440,Time:628.3s,TotalBoxes:85,S:8,M:75,L:0
00000000777000000.mp4,Segment1,Frame:7470,Time:630.8s,TotalBoxes:86,S:8,M:76,L:0
00000000777000000.mp4,Segment1,Frame:7500,Time:633.4s,TotalBoxes:86,S:8,M:76,L:0
00000000777000000.mp4,Segment1,Frame:7530,Time:635.9s,TotalBoxes:87,S:8,M:77,L:0
00000000777000000.mp4,Segment1,Frame:7560,Time:638.5s,TotalBoxes:87,S:8,M:77,L:0
00000000777000000.mp4,Segment1,Frame:7590,Time:641.0s,TotalBoxes:87,S:8,M:77,L:0
00000000777000000.mp4,Segment1,Frame:7620,Time:643.6s,TotalBoxes:87,S:8,M:77,L:0
00000000777000000.mp4,Segment1,Frame:7650,Time:646.1s,TotalBoxes:88,S:8,M:78,L:0
00000000777000000.mp4,Segment1,Frame:7680,Time:648.6s,TotalBoxes:89,S:9,M:78,L:0
00000000777000000.mp4,Segment1,Frame:7710,Time:651.2s,TotalBoxes:89,S:9,M:78,L:0
00000000777000000.mp4,Segment1,Frame:7740,Time:653.7s,TotalBoxes:89,S:9,M:78,L:0
00000000777000000.mp4,Segment1,Frame:7770,Time:656.3s,TotalBoxes:90,S:9,M:79,L:0
00000000777000000.mp4,Segment1,Frame:7800,Time:658.8s,TotalBoxes:91,S:9,M:80,L:0
00000000777000000.mp4,Segment1,Frame:7830,Time:661.4s,TotalBoxes:92,S:9,M:81,L:0
00000000777000000.mp4,Segment1,Frame:7860,Time:664.0s,TotalBoxes:92,S:9,M:81,L:0
00000000777000000.mp4,Segment1,Frame:7890,Time:666.5s,TotalBoxes:93,S:9,M:82,L:0
00000000777000000.mp4,Segment1,Frame:7920,Time:669.1s,TotalBoxes:93,S:9,M:82,L:0
